"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 27 14:47:17 GMT 2022","Mon Jun 27 14:47:20 GMT 2022","3246","","TestRoxo","","TestRoxo","LogoutTest","LogoutTest()",""
"passed","Mon Jun 27 14:47:12 GMT 2022","Mon Jun 27 14:47:13 GMT 2022","1175","","TestRoxo","","TestRoxo","LoginTest","LoginTest()",""
"passed","Mon Jun 27 14:46:58 GMT 2022","Mon Jun 27 14:46:59 GMT 2022","1461","","TestRoxo","","TestRoxo","PagingTest","PagingTest()",""
"passed","Mon Jun 27 14:46:57 GMT 2022","Mon Jun 27 14:46:58 GMT 2022","1179","","TestRoxo","","TestRoxo","ReadFromFileTest","ReadFromFileTest()",""
"passed","Mon Jun 27 14:47:20 GMT 2022","Mon Jun 27 14:47:22 GMT 2022","1616","","TestRoxo","","TestRoxo","SaveDataTest","SaveDataTest()",""
"passed","Mon Jun 27 14:47:13 GMT 2022","Mon Jun 27 14:47:17 GMT 2022","3735","","TestRoxo","","TestRoxo","InputNewDataTest","InputNewDataTest()",""
"passed","Mon Jun 27 14:46:55 GMT 2022","Mon Jun 27 14:46:57 GMT 2022","1850","","TestRoxo","","TestRoxo","DataListTest","DataListTest()",""
"passed","Mon Jun 27 14:46:54 GMT 2022","Mon Jun 27 14:46:55 GMT 2022","1382","","TestRoxo","","TestRoxo","RegisterTest","test name",""
"passed","Mon Jun 27 14:46:59 GMT 2022","Mon Jun 27 14:47:06 GMT 2022","6143","","TestRoxo","","TestRoxo","RewriteDataTest","RewriteDataTest()",""
"passed","Mon Jun 27 14:47:06 GMT 2022","Mon Jun 27 14:47:12 GMT 2022","6134","","TestRoxo","","TestRoxo","RegUsersTest","RegUsersTest()",""
