"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 18 13:57:17 GMT 2022","Mon Jul 18 13:57:18 GMT 2022","1138","","TestRoxo","","TestRoxo","LoginTest2","Login2","Testing the Login process right after registration."
"passed","Mon Jul 18 13:57:04 GMT 2022","Mon Jul 18 13:57:10 GMT 2022","6151","","TestRoxo","","TestRoxo","RewriteDataTest","Modify and delete data","Checking that the entered data can be deleted and modified."
"passed","Mon Jul 18 13:57:25 GMT 2022","Mon Jul 18 13:57:26 GMT 2022","1585","","TestRoxo","","TestRoxo","SaveDataTest","Save data to file","Saving namecard data to txt file."
"passed","Mon Jul 18 13:57:10 GMT 2022","Mon Jul 18 13:57:16 GMT 2022","6361","","TestRoxo","","TestRoxo","RegUsersTest","Register more users from file","Registration of multiple user-data from file."
"passed","Mon Jul 18 13:57:01 GMT 2022","Mon Jul 18 13:57:02 GMT 2022","1151","","TestRoxo","","TestRoxo","ReadFromFileTest","Read from file1","Registration and Login with user-data from file."
"passed","Mon Jul 18 13:56:59 GMT 2022","Mon Jul 18 13:57:01 GMT 2022","1683","","TestRoxo","","TestRoxo","DataListTest","Listing data","Listing data from Namecards, and checking the list size."
"passed","Mon Jul 18 13:56:58 GMT 2022","Mon Jul 18 13:56:59 GMT 2022","1523","","TestRoxo","","TestRoxo","RegisterTest","Registration","Testing the Registration process."
"failed","Mon Jul 18 13:57:16 GMT 2022","Mon Jul 18 13:57:17 GMT 2022","617","","TestRoxo","","TestRoxo","LoginTest1","Login1","Testing Login process with user-data registered before."
"passed","Mon Jul 18 13:57:18 GMT 2022","Mon Jul 18 13:57:22 GMT 2022","3717","","TestRoxo","","TestRoxo","InputNewDataTest","Input new data","Checking input new data."
"passed","Mon Jul 18 13:57:02 GMT 2022","Mon Jul 18 13:57:04 GMT 2022","1582","","TestRoxo","","TestRoxo","PagingTest","Getting through multi-pages list","Paging through a list and counting the number of list-elements."
"passed","Mon Jul 18 13:57:22 GMT 2022","Mon Jul 18 13:57:25 GMT 2022","3213","","TestRoxo","","TestRoxo","LogoutTest","Logout","Testing the Logout process."
