"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 30 14:09:19 GMT 2022","Thu Jun 30 14:09:23 GMT 2022","3641","","TestRoxo","","TestRoxo","InputNewDataTest","Input new data",""
"failed","Thu Jun 30 14:09:18 GMT 2022","Thu Jun 30 14:09:18 GMT 2022","560","","TestRoxo","","TestRoxo","LoginTest1","Login1",""
"passed","Thu Jun 30 14:09:12 GMT 2022","Thu Jun 30 14:09:18 GMT 2022","6030","","TestRoxo","","TestRoxo","RegUsersTest","Register more users from file",""
"passed","Thu Jun 30 14:09:00 GMT 2022","Thu Jun 30 14:09:01 GMT 2022","1451","","TestRoxo","","TestRoxo","RegisterTest","Registration",""
"passed","Thu Jun 30 14:09:03 GMT 2022","Thu Jun 30 14:09:04 GMT 2022","1272","","TestRoxo","","TestRoxo","ReadFromFileTest","Read from file1",""
"passed","Thu Jun 30 14:09:26 GMT 2022","Thu Jun 30 14:09:28 GMT 2022","1511","","TestRoxo","","TestRoxo","SaveDataTest","Save data to file",""
"passed","Thu Jun 30 14:09:06 GMT 2022","Thu Jun 30 14:09:12 GMT 2022","6029","","TestRoxo","","TestRoxo","RewriteDataTest","Modify and delete data",""
"passed","Thu Jun 30 14:09:18 GMT 2022","Thu Jun 30 14:09:19 GMT 2022","1119","","TestRoxo","","TestRoxo","LoginTest2","Login2",""
"passed","Thu Jun 30 14:09:01 GMT 2022","Thu Jun 30 14:09:03 GMT 2022","1572","","TestRoxo","","TestRoxo","DataListTest","Listing data",""
"passed","Thu Jun 30 14:09:04 GMT 2022","Thu Jun 30 14:09:06 GMT 2022","1394","","TestRoxo","","TestRoxo","PagingTest","Getting through multi-pages list",""
"passed","Thu Jun 30 14:09:23 GMT 2022","Thu Jun 30 14:09:26 GMT 2022","3146","","TestRoxo","","TestRoxo","LogoutTest","Logout",""
