"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 28 20:34:50 GMT 2022","Tue Jun 28 20:34:51 GMT 2022","1140","","TestRoxo","","TestRoxo","LoginTest","Login",""
"passed","Tue Jun 28 20:34:51 GMT 2022","Tue Jun 28 20:34:55 GMT 2022","3777","","TestRoxo","","TestRoxo","InputNewDataTest","Input new data",""
"passed","Tue Jun 28 20:34:35 GMT 2022","Tue Jun 28 20:34:36 GMT 2022","1191","","TestRoxo","","TestRoxo","ReadFromFileTest","Read from file1",""
"passed","Tue Jun 28 20:34:44 GMT 2022","Tue Jun 28 20:34:50 GMT 2022","6115","","TestRoxo","","TestRoxo","RegUsersTest","Register more users from file",""
"passed","Tue Jun 28 20:34:33 GMT 2022","Tue Jun 28 20:34:35 GMT 2022","1745","","TestRoxo","","TestRoxo","DataListTest","Listing data",""
"passed","Tue Jun 28 20:34:37 GMT 2022","Tue Jun 28 20:34:44 GMT 2022","6426","","TestRoxo","","TestRoxo","RewriteDataTest","Modify and delete data",""
"passed","Tue Jun 28 20:34:36 GMT 2022","Tue Jun 28 20:34:37 GMT 2022","1550","","TestRoxo","","TestRoxo","PagingTest","Getting through multi-pages list",""
"passed","Tue Jun 28 20:34:31 GMT 2022","Tue Jun 28 20:34:33 GMT 2022","1444","","TestRoxo","","TestRoxo","RegisterTest","Registration",""
"passed","Tue Jun 28 20:34:58 GMT 2022","Tue Jun 28 20:35:00 GMT 2022","1591","","TestRoxo","","TestRoxo","SaveDataTest","SaveDataTest()",""
"passed","Tue Jun 28 20:34:55 GMT 2022","Tue Jun 28 20:34:58 GMT 2022","3266","","TestRoxo","","TestRoxo","LogoutTest","Logout",""
