"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 07 20:17:29 GMT 2022","Thu Jul 07 20:17:32 GMT 2022","2384","","TestRoxo","","TestRoxo","DataListTest","Listing data",""
"passed","Thu Jul 07 20:17:33 GMT 2022","Thu Jul 07 20:17:35 GMT 2022","1917","","TestRoxo","","TestRoxo","PagingTest","Getting through multi-pages list",""
"passed","Thu Jul 07 20:17:50 GMT 2022","Thu Jul 07 20:17:54 GMT 2022","4091","","TestRoxo","","TestRoxo","InputNewDataTest","Input new data",""
"passed","Thu Jul 07 20:17:54 GMT 2022","Thu Jul 07 20:17:58 GMT 2022","3458","","TestRoxo","","TestRoxo","LogoutTest","Logout",""
"passed","Thu Jul 07 20:17:58 GMT 2022","Thu Jul 07 20:18:00 GMT 2022","1850","","TestRoxo","","TestRoxo","SaveDataTest","Save data to file",""
"passed","Thu Jul 07 20:17:42 GMT 2022","Thu Jul 07 20:17:48 GMT 2022","6411","","TestRoxo","","TestRoxo","RegUsersTest","Register more users from file",""
"passed","Thu Jul 07 20:17:27 GMT 2022","Thu Jul 07 20:17:29 GMT 2022","2034","","TestRoxo","","TestRoxo","RegisterTest","Registration",""
"passed","Thu Jul 07 20:17:35 GMT 2022","Thu Jul 07 20:17:42 GMT 2022","6809","","TestRoxo","","TestRoxo","RewriteDataTest","Modify and delete data",""
"failed","Thu Jul 07 20:17:48 GMT 2022","Thu Jul 07 20:17:49 GMT 2022","698","","TestRoxo","","TestRoxo","LoginTest1","Login1",""
"passed","Thu Jul 07 20:17:49 GMT 2022","Thu Jul 07 20:17:50 GMT 2022","1381","","TestRoxo","","TestRoxo","LoginTest2","Login2",""
"passed","Thu Jul 07 20:17:32 GMT 2022","Thu Jul 07 20:17:33 GMT 2022","1320","","TestRoxo","","TestRoxo","ReadFromFileTest","Read from file1",""
