"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 29 13:18:12 GMT 2022","Wed Jun 29 13:18:14 GMT 2022","1846","","TestRoxo","","TestRoxo","DataListTest","Listing data",""
"passed","Wed Jun 29 13:18:23 GMT 2022","Wed Jun 29 13:18:29 GMT 2022","6389","","TestRoxo","","TestRoxo","RegUsersTest","Register more users from file",""
"failed","Wed Jun 29 13:18:29 GMT 2022","Wed Jun 29 13:18:30 GMT 2022","662","","TestRoxo","","TestRoxo","LoginTest1","Login1",""
"passed","Wed Jun 29 13:18:30 GMT 2022","Wed Jun 29 13:18:31 GMT 2022","1128","","TestRoxo","","TestRoxo","LoginTest2","Login2",""
"passed","Wed Jun 29 13:18:14 GMT 2022","Wed Jun 29 13:18:15 GMT 2022","1182","","TestRoxo","","TestRoxo","ReadFromFileTest","Read from file1",""
"passed","Wed Jun 29 13:18:38 GMT 2022","Wed Jun 29 13:18:40 GMT 2022","1555","","TestRoxo","","TestRoxo","SaveDataTest","Save data to file",""
"passed","Wed Jun 29 13:18:10 GMT 2022","Wed Jun 29 13:18:12 GMT 2022","1571","","TestRoxo","","TestRoxo","RegisterTest","Registration",""
"passed","Wed Jun 29 13:18:35 GMT 2022","Wed Jun 29 13:18:38 GMT 2022","3198","","TestRoxo","","TestRoxo","LogoutTest","Logout",""
"passed","Wed Jun 29 13:18:15 GMT 2022","Wed Jun 29 13:18:17 GMT 2022","1478","","TestRoxo","","TestRoxo","PagingTest","Getting through multi-pages list",""
"passed","Wed Jun 29 13:18:31 GMT 2022","Wed Jun 29 13:18:35 GMT 2022","3804","","TestRoxo","","TestRoxo","InputNewDataTest","Input new data",""
"passed","Wed Jun 29 13:18:17 GMT 2022","Wed Jun 29 13:18:23 GMT 2022","6169","","TestRoxo","","TestRoxo","RewriteDataTest","Modify and delete data",""
